Profile Name,Start Time,Duration,Title
Berkay,2023-05-31 13:31:32,00:00:09,The Good Place: Season 3 (Trailer)
Berkay,2023-05-31 13:31:07,00:00:12,Orange Is the New Black: Season 6 (Trailer)
Berkay,2023-05-21 22:49:26,00:06:11,The Queen's Gambit: Limited Series: End Game (Episode 7)
Berkay,2023-05-21 22:36:59,00:12:09,The Queen's Gambit: Limited Series: Adjournment (Episode 6)
Berkay,2023-05-21 22:36:43,00:00:02,Inside Job: Part 1: Clone Gunman (Episode 2)
Berkay,2023-05-20 07:06:23,00:08:03,The Queen's Gambit: Limited Series: Adjournment (Episode 6)
Berkay,2023-05-19 21:38:13,00:22:19,The Queen's Gambit: Limited Series: Adjournment (Episode 6)
Berkay,2023-05-18 17:37:40,00:00:09,Girl from Nowhere Season 2_Clip_3
Berkay,2023-05-18 17:16:16,00:20:25,Inside Job: Part 1: Clone Gunman (Episode 2)
Berkay,2023-05-18 16:59:39,00:16:32,Inside Job: Part 1: Unpresidented (Episode 1)
Berkay,2023-05-17 20:18:54,00:16:20,Inside Job: Part 1: Unpresidented (Episode 1)
Berkay,2023-05-17 20:18:33,00:00:19,Part 2 Genre Specific Moment Clip: Inside Job
Berkay,2023-05-16 22:37:50,00:00:05,Teen Titans Go!: Season 1_hook_primary_16x9
Berkay,2023-05-16 22:37:23,00:00:20,Clip 4: Headspace Guide to Meditation: Season 1 (Intense Emotion)
Berkay,2023-05-16 22:37:11,00:00:07,Season 2 Main Character Intro Clip: The Cuphead Show!
Berkay,2023-05-16 22:36:48,00:00:15,The SpongeBob Movie: Sponge Out of Water_hook_primary_16x9
Berkay,2023-05-16 22:36:14,00:00:06,Season 1 Main Character Intro Clip: Farzar
Berkay,2023-05-16 22:35:26,00:00:08,Another: Season 1_hook_05_16x9
Berkay,2023-05-16 22:35:00,00:00:20,Altered Carbon: Season 1_VAR2-RECIPE-1_EDITOR2
Berkay,2023-05-16 22:34:38,00:00:07,Dark (Trailer)
Berkay,2023-05-16 22:34:20,00:00:10,Castlevania: Season 1 - Upper Bound Clip 6
Berkay,2023-05-16 22:32:44,00:00:11,Season 1 Act 2 Conflict Clip: BEEF
Berkay,2023-05-16 22:31:57,00:00:19,Cliffhanger Clip: Disenchantment: Part 4
Berkay,2023-05-16 22:31:50,00:00:05,Part 2 Genre Specific Moment Clip: Inside Job
Berkay,2023-05-16 22:31:30,00:00:12,Season 1 Main Character Intro Clip: Uncle from Another World
Berkay,2023-05-16 22:26:17,00:00:06,The Midnight Gospel: Season 1 PVS Clip 2
Berkay,2023-05-16 22:26:03,00:00:12,Main Character Intro Clip: DAHMER
Berkay,2023-05-16 22:21:51,00:00:09,I'm Thinking of Ending Things PVS Clip 4
Berkay,2023-05-16 22:21:01,00:00:28,When They Cry_hook_primary_16x9
